"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-01","2024","01","01","","-4.3","","-8.8","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-02","2024","01","02","","0.6","","-7.0","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","","","20","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-03","2024","01","03","","2.5","","-0.5","","1.0","","17.0","","0.0","","0.0","","0.4","","0.2","","0","T","22","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-04","2024","01","04","","0.1","","-14.5","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","","52",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-05","2024","01","05","","-1.9","","-14.4","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","22","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-06","2024","01","06","","-2.9","","-10.9","","-6.9","","24.9","","0.0","","0.0","","5.4","","3.4","","0","T","7","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-07","2024","01","07","","-5.1","","-10.2","","-7.7","","25.7","","0.0","","0.0","","7.4","","4.8","","8","","7","","34",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-08","2024","01","08","","-1.9","","-6.6","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","11","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-09","2024","01","09","","0.4","","-6.5","","-3.1","","21.1","","0.0","","2.4","","8.6","","7.8","","11","","6","","62",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-10","2024","01","10","","5.0","","-5.3","","-0.2","","18.2","","0.0","","4.2","","0.0","T","4.2","","15","","27","","58",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-11","2024","01","11","","-5.1","","-8.5","","-6.8","","24.8","","0.0","","0.0","","0.8","","0.6","","10","","29","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-12","2024","01","12","","-5.2","","-10.4","","-7.8","","25.8","","0.0","","0.0","","4.2","","2.0","","9","","6","","62",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-13","2024","01","13","","1.9","","-6.4","","-2.3","","20.3","","0.0","","0.0","","14.8","","10.1","","23","","7","","70",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-14","2024","01","14","","-3.0","","-8.4","","-5.7","","23.7","","0.0","","0.0","","0.0","T","0.0","T","23","","23","","73",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-15","2024","01","15","","-7.2","","-12.3","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","22","","23","","44",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-16","2024","01","16","","-7.8","","-16.1","","-12.0","","30.0","","0.0","","0.0","","6.8","","3.4","","20","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-17","2024","01","17","","-9.2","","-17.1","","-13.2","","31.2","","0.0","","0.0","","0.0","","0.0","","27","","22","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-18","2024","01","18","","-7.5","","-12.8","","-10.2","","28.2","","0.0","","0.0","","0.2","","0.0","T","26","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-19","2024","01","19","","-10.7","","-17.8","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","25","","1","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-20","2024","01","20","","-11.5","","-17.1","","-14.3","","32.3","","0.0","","0.0","","0.2","","0.2","","24","","32","","42",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-21","2024","01","21","","-10.4","","-18.7","","-14.6","","32.6","","0.0","","0.0","","0.0","T","0.0","T","23","","30","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-22","2024","01","22","","-1.3","","-12.1","","-6.7","","24.7","","0.0","","0.0","","2.2","","1.4","","24","E","21","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2024-01-23","2024","01","23","","-1.2","","-9.5","","-5.4","","23.4","","0.0","","0.0","","0.6","","0.4","","23","","9","","38",""
